Context,cmd,Command,State
MAIN_WINDOW,help,Online Handbook,STATE_ALL
MAIN_WINDOW,file-open,Open,STATE_DISABLED | STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_PLAY
MAIN_WINDOW,file-save,Save,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_TEXT_EDIT| STATE_LYRICS_EDIT| STATE_HARMONY_FIGBASS_EDIT | STATE_PLAY
MAIN_WINDOW,file-save-online,Save Online,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_PLAY
MAIN_WINDOW,file-save-as,Save As,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_TEXT_EDIT | STATE_LYRICS_EDIT| STATE_HARMONY_FIGBASS_EDIT | STATE_PLAY
MAIN_WINDOW,file-save-selection,Save Selection,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_PLAY
MAIN_WINDOW,file-save-a-copy,Save a Copy,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_PLAY
MAIN_WINDOW,file-export,Export,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT
MAIN_WINDOW,file-import-pdf,Import PDF,STATE_DISABLED | STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_PLAY
MAIN_WINDOW,file-close,Close,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_PLAY
MAIN_WINDOW,file-new,New,STATE_DISABLED | STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_PLAY
MAIN_WINDOW,undo,Undo,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_TEXT_EDIT | STATE_LYRICS_EDIT
MAIN_WINDOW,redo,Redo,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_TEXT_EDIT | STATE_LYRICS_EDIT
SCORE_TAB,cut,Cut,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_TEXT_EDIT | STATE_LYRICS_EDIT| STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,copy,Copy,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_TEXT_EDIT | STATE_LYRICS_EDIT| STATE_HARMONY_FIGBASS_EDIT | STATE_FOTO
SCORE_TAB,paste,Paste,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_TEXT_EDIT | STATE_LYRICS_EDIT| STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,paste-half,Paste Half Duration,STATE_NORMAL
SCORE_TAB,paste-double,Paste Double Duration,STATE_NORMAL
SCORE_TAB,paste-special,Paste Special,STATE_NORMAL
SCORE_TAB,swap,Swap with Clipboard,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_TEXT_EDIT | STATE_LYRICS_EDIT| STATE_HARMONY_FIGBASS_EDIT
MAIN_WINDOW,instruments,Instruments,STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,note-input,Note Input,STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,note-input-steptime,Step-Time (Default),STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,note-input-repitch,Re-Pitch,STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,note-input-rhythm,Rhythm,STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,note-input-realtime-auto,Real-Time (Automatic),STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,note-input-realtime-manual,Real-Time (Manual),STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,note-input-timewise,Insert,STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,pitch-spell,Respell Pitches,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,interval1,Unison Above,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval2,Second Above,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval3,Third Above,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval4,Fourth Above,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval5,Fifth Above,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval6,Sixth Above,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval7,Seventh Above,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval8,Octave Above,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval9,Ninth Above,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval-2,Second Below,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval-3,Third Below,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval-4,Fourth Below,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval-5,Fifth Below,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval-6,Sixth Below,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval-7,Seventh Below,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval-8,Octave Below,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,interval-9,Ninth Below,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,note-a,A,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,note-b,B,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,note-c,C,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,note-d,D,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,note-e,E,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,note-f,F,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,note-g,G,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,chord-a,Add A to Chord,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,chord-b,Add B to Chord,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,chord-c,Add C to Chord,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,chord-d,Add D to Chord,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,chord-e,Add E to Chord,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,chord-f,Add F to Chord,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,chord-g,Add G to Chord,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,chord-tie,Add Tied Note to Chord,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,insert-a,Insert A,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,insert-b,Insert B,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,insert-c,Insert C,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,insert-d,Insert D,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,insert-e,Insert E,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,insert-f,Insert F,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,insert-g,Insert G,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,rest,Rest,STATE_NORMAL | STATE_NOTE_ENTRY_STAFF_PITCHED | STATE_NOTE_ENTRY_STAFF_DRUM
SCORE_TAB,realtime-advance,Real-Time Advance,STATE_NOTE_ENTRY_METHOD_REALTIME_AUTO | STATE_NOTE_ENTRY_METHOD_REALTIME_MANUAL
SCORE_TAB,add-staccato,Staccato,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,add-up-bow,Up Bow,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,add-down-bow,Down Bow,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,add-tenuto,Tenuto,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,add-trill,Trill,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,add-marcato,Marcato,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,add-sforzato,Accent,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,stretch+,Increase Layout Stretch,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,stretch-,Decrease Layout Stretch,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,reset-beammode,Reset Beams,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,reset-style,Reset Style,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,reset-text-style-overrides,Reset Text Style Overrides,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,reset-groupings,Regroup Rhythms,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,flip,Flip Direction,STATE_NORMAL | STATE_NOTE_ENTRY
